ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,Total_Length
1,1,1,Location 1 - Location 1,1,1,1,0.000000000000000
2,20,2,Location 20 - Location 1,1,1,1,5499.012789891928151
3,25,3,Location 25 - Location 1,1,2,1,6885.552558322646291
4,23,4,Location 23 - Location 1,1,1,1,6920.698778939398835
5,24,5,Location 24 - Location 1,1,1,1,6920.698778939398835
6,26,6,Location 26 - Location 1,1,1,1,6969.533299419040304
7,21,7,Location 21 - Location 1,1,2,1,7778.524372255694288
8,22,8,Location 22 - Location 1,1,2,1,7778.524372255694288
9,17,9,Location 17 - Location 1,1,2,1,33815.544449888620875
10,18,10,Location 18 - Location 1,1,2,1,33815.544449888620875
11,43,11,Location 43 - Location 1,1,1,1,47496.386683569951856
12,7,12,Location 7 - Location 1,1,2,1,49800.579647702354123
13,8,13,Location 8 - Location 1,1,2,1,49876.568216838655644
14,57,14,Location 57 - Location 1,1,2,1,50611.495643025620666
15,12,15,Location 12 - Location 1,1,2,1,52027.082558140777110
16,13,16,Location 13 - Location 1,1,2,1,52041.652978624035313
17,11,17,Location 11 - Location 1,1,2,1,59365.576717067851860
18,9,18,Location 9 - Location 1,1,1,1,59371.275709852518048
19,10,19,Location 10 - Location 1,1,1,1,59371.275709852518048
20,30,20,Location 30 - Location 1,1,2,1,81535.287232934017084
21,41,21,Location 41 - Location 1,1,1,1,92412.565123249558383
22,39,22,Location 39 - Location 1,1,1,1,92458.635645616712281
23,40,23,Location 40 - Location 1,1,1,1,92458.635645616712281
24,42,24,Location 42 - Location 1,1,1,1,93121.262111483883928
25,31,25,Location 31 - Location 1,1,1,1,97031.220442328325589
26,32,26,Location 32 - Location 1,1,1,1,97032.088437002108549
27,46,27,Location 46 - Location 1,1,1,1,106622.528097456030082
28,47,28,Location 47 - Location 1,1,1,1,106622.528097456030082
29,48,29,Location 48 - Location 1,1,1,1,106622.528097456030082
30,27,30,Location 27 - Location 1,1,1,1,118523.844650537575944
31,28,31,Location 28 - Location 1,1,1,1,121931.114586433817749
32,29,32,Location 29 - Location 1,1,1,1,121931.114586433817749
33,53,33,Location 53 - Location 1,1,1,1,125811.931841164521757
34,52,34,Location 52 - Location 1,1,2,1,125813.534183306008345
35,54,35,Location 54 - Location 1,1,1,1,125819.863414736159029
36,2,36,Location 2 - Location 1,1,1,1,126032.424028769513825
37,3,37,Location 3 - Location 1,1,1,1,126053.911230965270079
38,4,38,Location 4 - Location 1,1,2,1,126100.810972742372542
39,5,39,Location 5 - Location 1,1,2,1,126252.922985252516810
40,6,40,Location 6 - Location 1,1,2,1,126358.978167392560863
41,44,41,Location 44 - Location 1,1,1,1,140847.335842004948063
42,45,42,Location 45 - Location 1,1,1,1,140847.335842004948063
43,58,43,Location 58 - Location 1,1,1,1,149276.634435420070076
44,59,44,Location 59 - Location 1,1,1,1,149276.634435420070076
45,60,45,Location 60 - Location 1,1,1,1,149276.634435420070076
46,19,46,Location 19 - Location 1,1,2,1,149358.466958222386893
47,15,47,Location 15 - Location 1,1,2,1,152390.142869214148959
48,16,48,Location 16 - Location 1,1,2,1,152404.710596727964003
49,14,49,Location 14 - Location 1,1,2,1,152435.134739146509673
50,55,50,Location 55 - Location 1,1,2,1,154420.615725908806780
51,56,51,Location 56 - Location 1,1,1,1,167358.574307477218099
52,62,52,Location 62 - Location 1,1,1,1,187286.165119616984157
53,33,53,Location 33 - Location 1,1,1,1,191026.159890505456133
54,37,54,Location 37 - Location 1,1,1,1,192850.446773825504351
55,34,55,Location 34 - Location 1,1,1,1,192979.409473345789593
56,35,56,Location 35 - Location 1,1,1,1,192979.409473345789593
57,36,57,Location 36 - Location 1,1,1,1,192979.409473345789593
58,38,58,Location 38 - Location 1,1,1,1,205597.083322591264732
59,61,59,Location 61 - Location 1,1,1,1,205983.659282570733922
60,2,1,Location 2 - Location 2,1,1,2,0.000000000000000
61,3,2,Location 3 - Location 2,1,1,2,21.487202195751038
62,4,3,Location 4 - Location 2,1,2,2,68.386943972860038
63,54,4,Location 54 - Location 2,2,2,2,212.560614033351982
64,52,5,Location 52 - Location 2,2,1,2,218.889845463499000
65,53,6,Location 53 - Location 2,2,2,2,220.492187604986611
66,5,7,Location 5 - Location 2,1,2,2,220.498956483005600
67,6,8,Location 6 - Location 2,1,2,2,326.554138623044821
68,28,9,Location 28 - Location 2,2,2,2,4101.309442335692438
69,29,10,Location 29 - Location 2,2,2,2,4101.309442335692438
70,27,11,Location 27 - Location 2,2,2,2,7508.579378231939700
71,44,12,Location 44 - Location 2,2,1,2,14938.203825969463651
72,45,13,Location 45 - Location 2,2,1,2,14938.203825969463651
73,46,14,Location 46 - Location 2,2,1,2,20538.721177758499834
74,47,15,Location 47 - Location 2,2,1,2,20538.721177758499834
75,48,16,Location 48 - Location 2,2,1,2,20538.721177758499834
76,58,17,Location 58 - Location 2,2,1,2,23367.502419384523819
77,59,18,Location 59 - Location 2,2,1,2,23367.502419384523819
78,60,19,Location 60 - Location 2,2,1,2,23367.502419384523819
79,19,20,Location 19 - Location 2,2,2,2,23449.334942186840635
