Site	PH2015_01D	PH2015_01U	PH2015_02D	PH2015_02U	PH2015_03D	PH2015_03U	PH2015_04D	PH2015_04U	PH2015_05S	PH2015_06S	PH2015_07D	PH2015_07U	PH2015_08D	PH2015_08U	PH2015_09S	PH2015_10S	PH2015_11S	PH2015_12D	PH2015_12U	PH2015_13D	PH2015_13U	PH2015_14S	PH2017_01_SCD_O_A	PH2017_02_FOX_O_A	PH2017_03_ELD_O_A	PH2017_04_SCI_O_A	PH2017_05_CCC_O_A	PH2017_06_SFM_O_A	PH2017_07_MST_O_A	PH2017_08_TRC_O_A	PH2017_09_SFU_O_A	PH2017_10_PVI_O_A	PH2017_11_PCY_U_A	PH2017_12_PCY_D_A	PH2017_13_LAR_U_A	PH2017_14_LAR_D_A	PH2017_15_JOR_U_A	PH2017_16_JOR_D_A	PH2017_17_BER_D_A	PH2017_18_LLB_O_A	PH2017_19_SFW_U_A	PH2017_20_SFW_D_A	PH2017_24_DOB_U_A	PH2017_25_DOB_D_A	PH2017_26_ELK_O_A	PH2017_27_LUM_O_A	PH2017_28_MFU_U_A	PH2017_29_MFU_D_A	PH2017_30_WIL_O_A	PH2017_31_RDM_U_A	PH2017_32_RDM_D_A	PH2017_33_LGB_O_A	PH2017_34_RAT_O_A	PH2017_35_SFW_U_B	PH2017_36_ELK_O_B	PH2017_37_MFU_D_B	PH2017_38_RDM_U_B	PH2017_39_LGB_O_B	PH2017_40_RAT_O_B
PH2015_01D	0	14.567727513802977	26578.211028049616	26570.27945447798	26701.509809661624	26807.56499180166	26502.49805537437	26549.39779715148	33866.29821867657	55358.05443221203	59977.5777459646	59268.88075773027	102589.56322151184	102513.57465237554	318384.3076634964	316560.02078017633	184899.4376067383	177560.9434478112	177575.51386829445	145673.7142574231	145757.6949985195	146891.13007932217	26576.60868590813	3153.0662348766705	44.99186993235277	2281.998493403091	26481.010853178614	15219.957074971444	331130.94421226205	331517.52017224155	101778.6472261886	104893.75618564426	59931.50722359745	59931.50722359745	145708.86047803986	145708.86047803986	159451.23180624915	159451.23180624915	152390.14286921415	233207.9946669276	3113.508433794094	3113.508433794094	184905.13659952296	184905.13659952296	118574.59841932556	55358.92242688582	318513.2703630167	318513.2703630167	312820.02600928786	46896.44001820313	46896.44001820313	30459.02828278032	27521.50085687009	3113.508433794094	118574.59841932556	318513.2703630167	46896.44001820313	30459.02828278032	27521.50085687009
PH2015_01U	14.567727513802977	0	26592.77875556342	26584.847181991783	26716.077537175428	26822.132719315465	26517.065782888174	26563.965524665284	33880.86594619037	55372.622159725834	59992.1454734784	59283.44848524407	102604.13094902564	102528.14237988934	318398.8753910102	316574.5885076901	184914.0053342521	177575.51117532502	177590.08159580827	145688.2819849369	145772.2627260333	146905.697806836	26591.176413421934	3167.6339623904737	30.424142418549792	2296.566220916894	26495.578580692418	15234.524802485246	331145.51193977584	331532.08789975534	101793.2149537024	104908.32391315806	59946.07495111125	59946.07495111125	145723.42820555368	145723.42820555368	159465.79953376297	159465.79953376297	152404.71059672796	233222.56239444143	3128.076161307897	3128.076161307897	184919.70432703677	184919.70432703677	118589.16614683936	55373.490154399624	318527.8380905305	318527.8380905305	312834.59373680165	46911.00774571693	46911.00774571693	30473.596010294124	27536.068584383895	3128.076161307897	118589.16614683936	318527.8380905305	46911.00774571693	30473.596010294124	27536.068584383895
PH2015_02D	26578.211028049613	26592.778755563417	0	7.931573571634635	440.9911440879922	547.0463262280314	241.97938980073764	288.87913157784664	7288.087190626953	28779.84340416242	33399.36671791498	32690.66972968066	76011.35219346221	75935.36362432591	291806.09663544677	289981.8097521267	158321.22657868871	150982.73241976163	150997.30284024487	119095.5032293735	119179.4839704699	120312.91905127259	1.602342141487622	23546.535117057843	26623.202897981966	28608.68388474426	220.4921876049866	41546.642466312616	304552.7331842124	304939.3091441919	75200.43619813897	78315.54515759464	33353.29619554783	33353.29619554783	119130.64944999026	119130.64944999026	132873.02077819957	132873.02077819957	125811.93184116452	206629.78363887803	23464.702594255523	23464.702594255523	158326.92557147337	158326.92557147337	91996.38739127593	28780.71139883621	291935.05933496705	291935.05933496705	286241.8149812382	20318.22899015352	20318.22899015352	3880.8172547307063	15035.40400084046	23464.702594255523	91996.38739127593	291935.05933496705	20318.22899015352	3880.8172547307063	15035.40400084046
PH2015_02U	26570.279454477975	26584.84718199178	7.931573571634592	0	433.05957051635755	539.1147526563968	234.04781622910303	280.94755800621203	7296.0187641985885	28787.774977734058	33407.298291486615	32698.601303252293	76019.28376703385	75943.29519789755	291814.0282090184	289989.7413256983	158329.15815226035	150990.66399333326	151005.2344138165	119103.43480294514	119187.41554404153	120320.85062484423	6.329231430146863	23538.603543486206	26615.27132441033	28600.752311172622	212.56061403335198	41538.710892740986	304560.66475778405	304947.24071776355	75208.3677717106	78323.47673116627	33361.22776911947	33361.22776911947	119138.5810235619	119138.5810235619	132880.9523517712	132880.9523517712	125819.86341473616	206637.71521244966	23456.771020683886	23456.771020683886	158334.857145045	158334.857145045	92004.31896484757	28788.642972407844	291942.9909085387	291942.9909085387	286249.74655480986	20326.160563725152	20326.160563725152	3888.7488283023413	15027.472427268827	23456.771020683886	92004.31896484757	291942.9909085387	20326.160563725152	3888.7488283023413	15027.472427268827
PH2015_03D	26701.50980966162	26716.077537175424	440.9911440879923	433.0595705163578	0	106.05518214003922	199.01175428725455	152.11201251014555	7729.078334714945	29220.834548250416	33840.35786200297	33131.66087376865	76452.3433375502	76376.3547684139	292247.0877795348	290422.8008962147	158762.2177227767	151423.7235638496	151438.29398433285	119536.4943734615	119620.47511455789	120753.91019536059	439.3888019465046	23669.83389866985	26746.501679593974	28731.982666356267	220.4989564830056	41669.941247924624	304993.72432830045	305380.30028827995	75641.42734222696	78756.53630168263	33794.287339635826	33794.287339635826	119571.64059407826	119571.64059407826	133314.01192228755	133314.01192228755	126252.92298525252	207070.774782966	23588.00137586753	23588.00137586753	158767.91671556135	158767.91671556135	92437.37853536393	29221.702542924202	292376.0504790551	292376.0504790551	286682.80612532626	20759.22013424151	20759.22013424151	4321.808398818699	15158.702782452468	23588.00137586753	92437.37853536393	292376.0504790551	20759.22013424151	4321.808398818699	15158.702782452468
PH2015_03U	26807.564991801657	26822.13271931546	547.0463262280316	539.114752656397	106.05518214003922	0	305.0669364272938	258.1671946501848	7835.133516854985	29326.889730390452	33946.41304414302	33237.71605590869	76558.39851969025	76482.40995055395	292353.14296167484	290528.85607835476	158868.27290491672	151529.77874598964	151544.34916647288	119642.54955560154	119726.53029669794	120859.96537750063	545.4439840865439	23775.889080809888	26852.55686173401	28838.037848496304	326.5541386230448	41775.99643006467	305099.7795104405	305486.35547042	75747.482524367	78862.59148382267	33900.34252177587	33900.34252177587	119677.6957762183	119677.6957762183	133420.06710442758	133420.06710442758	126358.97816739256	207176.82996510604	23694.056558007567	23694.056558007567	158873.97189770138	158873.97189770138	92543.43371750397	29327.75772506424	292482.1056611951	292482.1056611951	286788.8613074663	20865.275316381547	20865.275316381547	4427.863580958738	15264.757964592507	23694.056558007567	92543.43371750397	292482.1056611951	20865.275316381547	4427.863580958738	15264.757964592507
PH2015_04D	26502.498055374363	26517.065782888167	241.97938980073775	234.0478162291032	199.01175428725455	305.0669364272938	0	46.89974177710899	7530.0665804276905	29021.822793963158	33641.34610771572	32932.64911948139	76253.33158326296	76177.34301412666	292048.0760252475	290223.78914192744	158563.20596848943	151224.71180956234	151239.2822300456	119337.48261917425	119421.46336027065	120554.89844107334	240.37704765925002	23470.822144382593	26547.489925306716	28532.97091206901	21.48720219575104	41470.92949363737	304794.71257401316	305181.28853399266	75442.41558793971	78557.52454739538	33595.27558534857	33595.27558534857	119372.62883979101	119372.62883979101	133115.0001680003	133115.0001680003	126053.91123096527	206871.76302867875	23388.989621580273	23388.989621580273	158568.9049612741	158568.9049612741	92238.36678107668	29022.690788636944	292177.0387247678	292177.0387247678	286483.79437103897	20560.208379954252	20560.208379954252	4122.796644531444	14959.691028165214	23388.989621580273	92238.36678107668	292177.0387247678	20560.208379954252	4122.796644531444	14959.691028165214
PH2015_04U	26549.397797151472	26563.965524665276	288.87913157784675	280.94755800621215	152.11201251014555	258.1671946501848	46.89974177710899	0	7576.9663222048	29068.722535740268	33688.24584949283	32979.5488612585	76300.23132504006	76224.24275590376	292094.9757670246	290270.68888370454	158610.10571026657	151271.61155133948	151286.18197182272	119384.38236095135	119468.36310204775	120601.79818285044	287.276789436359	23517.721886159703	26594.389667083826	28579.87065384612	68.38694397286004	41517.82923541448	304841.61231579026	305228.18827576976	75489.31532971682	78604.42428917249	33642.17532712568	33642.17532712568	119419.52858156811	119419.52858156811	133161.89990977742	133161.89990977742	126100.81097274237	206918.66277045588	23435.889363357383	23435.889363357383	158615.80470305122	158615.80470305122	92285.26652285378	29069.590530414054	292223.9384665449	292223.9384665449	286530.69411281607	20607.108121731362	20607.108121731362	4169.696386308553	15006.590769942322	23435.889363357383	92285.26652285378	292223.9384665449	20607.108121731362	4169.696386308553	15006.590769942322
PH2015_05S	33866.298218676566	33880.865946190366	7288.087190626953	7296.018764198588	7729.078334714945	7835.133516854985	7530.066580427691	7576.966322204799	0	21491.75621353547	26111.27952728803	25402.582539053707	68723.26500283527	68647.27643369896	284518.00944481976	282693.7225614997	151033.13938806177	143694.64522913468	143709.21564961792	111807.41603874655	111891.39677984295	113024.83186064565	7289.689532768441	30834.622307684796	33911.29008860892	35896.77107537121	7508.57937823194	48834.72965693957	297264.6459935854	297651.2219535649	67912.34900751202	71027.45796696769	26065.209004920882	26065.209004920882	111842.56225936332	111842.56225936332	125584.93358757261	125584.93358757261	118523.84465053758	199341.69644825108	30752.789784882476	30752.789784882476	151038.83838084643	151038.83838084643	84708.30020064898	21492.624208209258	284646.97214434005	284646.97214434005	278953.7277906112	13030.141799526562	13030.141799526562	3407.269935896247	22323.491191467416	30752.789784882476	84708.30020064898	284646.97214434005	13030.141799526562	3407.269935896247	22323.491191467416
PH2015_06S	55358.054432212055	55372.622159725855	28779.843404162428	28787.774977734058	29220.834548250416	29326.889730390452	29021.82279396316	29068.72253574027	21491.756213535467	0	4619.523313752561	3910.8263255182383	47231.5087892998	47155.5202201635	263026.25323128427	261201.96634796416	129541.38317452627	122202.88901559918	122217.45943608244	90315.65982521109	90399.64056630748	91533.07564711018	28781.445746303914	52326.37852122028	55403.0463021444	57388.5272889067	29000.335591767405	70326.48587047504	275772.8897800499	276159.4657400294	46420.59279397654	49535.7017534322	4573.452791385415	4573.452791385415	90350.80604582785	90350.80604582785	104093.17737403714	104093.17737403714	97032.08843700211	177849.94023471558	52244.54599841796	52244.54599841796	129547.08216731093	129547.08216731093	63216.543987113524	0.867994673784646	263155.21593080455	263155.21593080455	257461.9715770757	9590.439660453923	9590.439660453923	24899.026149431716	43815.24740500289	52244.54599841796	63216.543987113524	263155.21593080455	9590.439660453923	24899.026149431716	43815.24740500289
PH2015_07D	59977.57774596462	59992.14547347842	33399.366717914985	33407.298291486615	33840.35786200297	33946.41304414301	33641.34610771572	33688.24584949283	26111.279527288025	4619.52331375256	0	708.6969882343219	42611.98547554723	42535.99690641093	258406.72991753163	256582.44303421158	124921.85986077372	117583.36570184663	117597.93612232989	85696.13651145854	85780.11725255493	86913.55233335763	33400.96906005647	56945.90183497284	60022.569615896966	62008.05060265926	33619.85890551996	74946.0091842276	271153.36646629736	271539.94242627686	41801.069480223974	44916.178439679636	46.07052236714564	46.07052236714564	85731.2827320753	85731.2827320753	99473.65406028459	99473.65406028459	92412.56512324956	173230.416920963	56864.069312170526	56864.069312170526	124927.55885355838	124927.55885355838	58597.02067336096	4618.655319078775	258535.69261705191	258535.69261705191	252842.4482633231	14209.962974206484	14209.962974206484	29518.549463184274	48434.770718755455	56864.069312170526	58597.02067336096	258535.69261705191	14209.962974206484	29518.549463184274	48434.770718755455
PH2015_07U	59268.880757730294	59283.448485244095	32690.669729680667	32698.601303252297	33131.660873768655	33237.71605590869	32932.6491194814	32979.54886125851	25402.582539053707	3910.8263255182387	708.6969882343219	0	43320.68246378156	43244.69389464526	259115.42690576595	257291.1400224459	125630.55684900805	118292.06269008096	118306.63311056422	86404.83349969286	86488.81424078926	87622.24932159195	32692.272071822154	56237.20484673852	59313.87262766264	61299.35361442494	32911.161917285644	74237.31219599329	271862.06345453166	272248.63941451116	42509.7664684583	45624.87542791396	662.6264658671763	662.6264658671763	86439.97972030962	86439.97972030962	100182.35104851892	100182.35104851892	93121.26211148388	173939.11390919733	56155.3723239362	56155.3723239362	125636.2558417927	125636.2558417927	59305.717661595285	3909.958330844454	259244.38960528624	259244.38960528624	253551.14525155743	13501.265985972163	13501.265985972163	28809.852474949956	47726.07373052113	56155.3723239362	59305.717661595285	259244.38960528624	13501.265985972163	28809.852474949956	47726.07373052113
PH2015_08D	102589.56322151187	102604.13094902567	76011.35219346224	76019.28376703388	76452.34333755024	76558.39851969026	76253.33158326297	76300.23132504009	68723.26500283527	47231.5087892998	42611.98547554723	43320.68246378155	0	75.98856913629677	215794.74444198434	213970.4575586643	82309.87438522649	74971.3802262994	74985.95064678266	43084.15103591132	43168.13177700772	44301.566857810416	76012.95453560373	99557.88731052009	102634.55509144421	104620.03607820651	76231.84438106722	117557.99465977483	228541.38099075007	228927.95695072957	810.9159953232604	2304.1929641324004	42658.05599791437	42658.05599791437	43119.29725652808	43119.29725652808	56861.66858473737	56861.66858473737	49800.579647702354	130618.43144541568	99476.05478771777	99476.05478771777	82315.57337801115	82315.57337801115	15985.035197813711	47230.640794626015	215923.70714150462	215923.70714150462	210230.46278777582	56821.94844975372	56821.94844975372	72130.534938731507	91046.75619430272	99476.05478771777	15985.035197813711	215923.70714150462	56821.94844975372	72130.534938731507	91046.75619430272
