sample	site	species	n	mean_pi	median_pi	sd_pi	min_pi	max_pi	median_cov
PH2015_01D.species_1.pid96	PH2015_01D	species_1	5369	0.003438045670773367	0.00216288169885126	0.0036021006980905537	0	0.03067387486949114	24.193044157874173
PH2015_01U.species_1.pid96	PH2015_01U	species_1	5057	0.0011671214784061672	6.635927663737329e-4	0.0017308023917635181	0	0.017226274834563404	11.746031746031745
PH2015_02D.species_1.pid96	PH2015_02D	species_1	5429	8.928576881552358e-4	5.069431042511452e-4	0.0014190140233452297	1.1028556360137554e-4	0.01741771027445793	856.4141414141416
PH2015_02U.species_1.pid96	PH2015_02U	species_1	5197	0.0010778617559200198	5.915888991111505e-4	0.001684930831937579	8.359197842877641e-5	0.032948946580290794	344.2815699658703
PH2015_03D.species_1.pid96	PH2015_03D	species_1	5208	0.0017876090063136917	8.699427461041909e-4	0.0023469872007324437	0	0.024132528238826282	201.0853832874791
PH2015_03U.species_1.pid96	PH2015_03U	species_1	5212	0.001776672552802273	7.73047936047655e-4	0.002435847594915125	9.68446918562238e-5	0.031951377237284584	586.9381273289903
PH2015_04D.species_1.pid96	PH2015_04D	species_1	5204	0.0013993020124908498	5.744529673931686e-4	0.0022205931413327353	4.8085776242379204e-5	0.03175036278035903	800.5648063648064
PH2015_04U.species_1.pid96	PH2015_04U	species_1	5223	0.0015851020314393608	6.901888110691923e-4	0.00232996692586554	1.1181395228321289e-4	0.03221063260678892	877.4923928077455
PH2015_05S.species_1.pid96	PH2015_05S	species_1	5224	9.317060768989822e-4	7.199860290362237e-4	0.0011550075876621264	2.457715462946819e-4	0.024442679148453883	964.548409623949
PH2015_06S.species_2.pid96	PH2015_06S	species_2	4337	0.0010382723129557698	5.010984894028292e-4	0.0018793047089822026	0	0.03208948182783533	23.04761904761905
PH2015_06S.species_3.pid96	PH2015_06S	species_3	5425	4.6135351399053493e-4	3.5749956019748286e-4	8.487057993479698e-4	1.222721992000242e-4	0.0246354422194468	956.9786967418546
PH2015_07D.species_2.pid96	PH2015_07D	species_2	3918	0.001357860500535345	6.562857885774598e-4	0.002167272454330541	0	0.026497340954101837	8.488033873343152
PH2015_07D.species_3.pid96	PH2015_07D	species_3	5422	5.802689009937173e-4	4.559196915865371e-4	9.457065017079418e-4	1.351780751172038e-4	0.029559813732663587	1082.277010540699
PH2015_07U.species_3.pid96	PH2015_07U	species_3	5398	5.049691856607602e-4	4.0924819760534975e-4	8.775614696967354e-4	0	0.02768052626500084	206.3427761813537
PH2015_08D.species_2.pid96	PH2015_08D	species_2	4409	0.0011770369251586181	6.412535769754202e-4	0.001882926492554499	0	0.02723355848626441	54.963218390804606
PH2015_08D.species_3.pid96	PH2015_08D	species_3	5435	6.004885133396151e-4	4.7245895000569416e-4	8.814316565562476e-4	1.9586161722107143e-4	0.027938456774799114	1440.223341729639
PH2015_08U.species_3.pid96	PH2015_08U	species_3	5391	5.134358254878868e-4	4.286770106983751e-4	7.515369043107878e-4	0	0.01645747180338264	157.8145009416196
PH2015_09S.species_1.pid96	PH2015_09S	species_1	5179	6.607075728846282e-4	4.7589261252600773e-4	0.0010795178659483945	0	0.019254462624138102	206.58333333333331
PH2015_10S.species_1.pid96	PH2015_10S	species_1	5427	0.0022978373827638667	0.0011236436380063222	0.002903167266559841	0	0.02866434435995802	166.56901041666666
PH2015_11S.species_1.pid96	PH2015_11S	species_1	5601	5.428445305011195e-4	4.5945273863301495e-4	6.707031154025702e-4	1.1121492454968518e-4	0.021629329948198217	722.7692307692308
PH2015_12D.species_1.pid96	PH2015_12D	species_1	5770	5.437183798160603e-4	5.03035249971695e-4	4.332522614722141e-4	1.1892645966771198e-4	0.015523490189942368	523.9346153846154
PH2015_12U.species_1.pid96	PH2015_12U	species_1	5769	4.536056252223287e-4	4.27556446954358e-4	4.4531333708267224e-4	6.185384357682011e-5	0.015827057779137843	278.1350574712644
PH2015_13D.species_2.pid96	PH2015_13D	species_2	4475	0.0015443508442875423	0.001004538025018098	0.0019369381523231606	0	0.03047148784001663	14.729125575279422
