name1	name2	scaf_num	mean_popANI	mean_conANI	sum_pop_sites	sum_con_sites	frac_popSNPs	sd_popANI	sd_conANI	median_popANI	median_conANI	watershed_1	watershed_2	row_name	col_name	ani_dRep	ani99_dRep	SNV_mbp.1	pop_age.1	SNV_mbp.2	pop_age.2	pop_age_pair	riv_dist	euc_dist	mean_pi.1	median_pi.1	mean_pi.2	median_pi.2	pi_diff_mean	pi_avg_mean	pi_avg_median	watershed_diff
PH2015_01D	PH2015_01U	179	0.999927169	0.995358429	390	29723	0.013121152	1.56E-04	0.001828243	0.999976019	0.995424055	17	17	PH2015_01D_Oscillatoriales_46_31	PH2015_01U_Oscillatoriales_45_14	0.9914513	0.99-0.995	5368.040191	Old	516.6731982	Young	Old-Young	14.56772751	19.15838399	0.003438769	0.002162882	0.001167197	6.64E-04	0.002271572	0.002302983	0.001413237	0
PH2015_01D	PH2015_02D	175	0.998618639	0.991146979	8016	54883	0.146056156	0.001170859	0.004471235	0.998907264	0.992019998	17	527	PH2015_01D_Oscillatoriales_46_31	PH2015_02D_Oscillatoriales_45_1038	0.98305184	<0.99	5368.040191	Old	2239.453299	Old	Old-Old	26578.21103	13427.36642	0.003438769	0.002162882	8.98E-04	5.07E-04	0.002540745	0.002168397	0.001334882	510
PH2015_01D	PH2015_02U	174	0.999157001	0.99244052	4839	45722	0.105835265	9.59E-04	0.003869772	0.999387361	0.993000846	17	527	PH2015_01D_Oscillatoriales_46_31	PH2015_02U_Oscillatoriales_45_393	0.9857148	<0.99	5368.040191	Old	2170.429513	Old	Old-Old	26570.27945	13411.9449	0.003438769	0.002162882	0.001078035	5.92E-04	0.002360734	0.002258402	0.001377228	510
PH2015_01D	PH2015_03D	174	0.998137497	0.989776962	9793	61651	0.158845761	0.002227955	0.004650206	0.998722091	0.990776652	17	39	PH2015_01D_Oscillatoriales_46_31	PH2015_03D_Oscillatoriales_45_235	0.98524964	<0.99	5368.040191	Old	4640.944964	Old	Old-Old	26701.50981	13410.24778	0.003438769	0.002162882	0.001787846	8.70E-04	0.001650923	0.002613308	0.00151623	22
PH2015_01D	PH2015_03U	174	0.997736176	0.989246105	12322	64570	0.190831656	0.002379773	0.004811275	0.998318812	0.990204089	17	39	PH2015_01D_Oscillatoriales_46_31	PH2015_03U_Oscillatoriales_45_708	0.9857557	<0.99	5368.040191	Old	4365.385925	Old	Old-Old	26807.56499	13450.11222	0.003438769	0.002162882	0.001777253	7.73E-04	0.001661517	0.002608011	0.001467967	22
PH2015_01D	PH2015_04D	174	0.997287362	0.989335946	15127	63898	0.236736674	0.002680009	0.004914904	0.997929237	0.990432739	17	39	PH2015_01D_Oscillatoriales_46_31	PH2015_04D_Oscillatoriales_45_965	0.98518497	<0.99	5368.040191	Old	3015.200244	Old	Old-Old	26502.49806	13333.06778	0.003438769	0.002162882	0.001405342	5.75E-04	0.002033427	0.002422056	0.001368758	22
PH2015_01D	PH2015_04U	174	0.997628965	0.98923467	12985	64886	0.200120211	0.002540029	0.004880428	0.998193951	0.99033367	17	39	PH2015_01D_Oscillatoriales_46_31	PH2015_04U_Oscillatoriales_45_1042	0.9851927	<0.99	5368.040191	Old	3801.937384	Old	Old-Old	26549.3978	13325.94232	0.003438769	0.002162882	0.001585863	6.92E-04	0.001852906	0.002512316	0.001427283	22
PH2015_01D	PH2015_05S	172	0.998077193	0.991202103	11442	53186	0.215131802	0.001782543	0.003985942	0.99850801	0.991933859	17	653	PH2015_01D_Oscillatoriales_46_31	PH2015_05S_Oscillatoriales_45_1152	0.9889905	<0.99	5368.040191	Old	1378.465329	Young	Old-Young	33866.29822	17599.76232	0.003438769	0.002162882	9.32E-04	7.20E-04	0.002506324	0.002185608	0.001441448	636
PH2015_01D	PH2015_09S	174	0.997135088	0.990878777	16604	54131	0.306737359	0.002274513	0.004233935	0.997476837	0.991664576	17	531	PH2015_01D_Oscillatoriales_46_31	PH2015_09S_Oscillatoriales_45_247	0.9881732	<0.99	5368.040191	Old	975.7148854	Young	Old-Young	318384.3077	50493.10614	0.003438769	0.002162882	6.61E-04	4.76E-04	0.002777796	0.002049872	0.001319421	514
PH2015_01D	PH2015_10S	178	0.998794821	0.990690662	6586	57915	0.11371838	0.001255131	0.004171722	0.999120572	0.991505724	17	951	PH2015_01D_Oscillatoriales_46_31	PH2015_10S_Oscillatoriales_46_199	0.9880379	<0.99	5368.040191	Old	5247.014018	Old	Old-Old	316560.0208	48890.49813	0.003438769	0.002162882	0.002298106	0.001123644	0.001140664	0.002868438	0.001643263	934
