querry,reference,alignment_length,similarity_errors,ref_coverage,querry_coverage,ani,reference_length,querry_length,alignment_coverage,primary_cluster
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_01D_Oscillatoriales_44_513.fa,5745308,0,0.99989,0.99989,1.0,5745940,5745940,0.9998900092935186,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_01D_Oscillatoriales_46_31.fa,1903955,265233,0.3735004,0.33135659,0.86069363,5097598,5745940,0.3735004211787591,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_01U_Oscillatoriales_44_212.fa,5908015,17323,0.9791872,1.0282068,0.99706787,6033591,5745940,1.0282068730268676,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_01U_Oscillatoriales_45_14.fa,2492434,342177,0.35210723,0.43377307,0.8627137,7078622,5745940,0.43377306411135513,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_02D_Oscillatoriales_45_1038.fa,2151162,294372,0.35696653,0.3743795,0.86315674,6026229,5745940,0.3743794748987981,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_02U_Oscillatoriales_45_393.fa,2509648,341515,0.33955854,0.43676892,0.86391914,7390914,5745940,0.4367689185755507,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_03D_Oscillatoriales_45_235.fa,2439616,331076,0.33888084,0.42458084,0.8642918,7199038,5745940,0.42458083446746747,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_03U_Oscillatoriales_45_708.fa,2356990,320500,0.3496078,0.41020095,0.8640215,6741812,5745940,0.4102009418824422,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_04D_Oscillatoriales_45_965.fa,2438855,331936,0.3474426,0.4244484,0.8638968,7019447,5745940,0.42444839312627697,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_04U_Oscillatoriales_45_1042.fa,2252544,308401,0.35785857,0.3920236,0.8630877,6294509,5745940,0.3920235853489594,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_05S_Oscillatoriales_45_1152.fa,2562584,346557,0.3646762,0.44598168,0.86476266,7027012,5745940,0.4459816844589397,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_06S_Oscillatoriales_45_83.fa,3586184,402068,0.565144,0.6241249,0.88788414,6345611,5745940,0.6241248603361678,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_06S_Oscillatoriales_46_2585.fa,2006006,286133,0.30673218,0.34911713,0.85736185,6539927,5745940,0.3491171157373728,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_07D_Oscillatoriales_45_11.fa,3087625,345041,0.6012006,0.5373577,0.88825035,5135765,5745940,0.6012006001053397,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_07D_Oscillatoriales_46_1245.fa,2277741,320727,0.32952908,0.39640877,0.85919076,6912109,5745940,0.3964087686261952,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_07U_Oscillatoriales_46_236.fa,2490333,348998,0.34122312,0.43340743,0.85985893,7298254,5745940,0.43340741462667554,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_08D_Oscillatoriales_45_74.fa,3647516,406281,0.5855617,0.6347988,0.88861436,6229089,5745940,0.6347988318708514,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_08D_Oscillatoriales_46_1646.fa,2180275,309957,0.31508568,0.37944618,0.8578358,6919626,5745940,0.37944618286999166,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_08U_Oscillatoriales_46_180.fa,2504289,351161,0.34445104,0.43583626,0.85977614,7270377,5745940,0.4358362600375221,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_09S_Oscillatoriales_45_247.fa,2570606,347406,0.35212517,0.4473778,0.86485445,7300262,5745940,0.44737780067317096,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_10S_Oscillatoriales_46_199.fa,2125112,290146,0.36406803,0.36984584,0.8634679,5837129,5745940,0.369845838974998,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_11S_Oscillatoriales_45_847.fa,2511684,340464,0.35726988,0.43712327,0.8644479,7030215,5745940,0.43712325572491184,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_12D_Oscillatoriales_45_607.fa,2537434,344017,0.35786682,0.44160467,0.8644233,7090442,5745940,0.44160468087031884,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_12U_Oscillatoriales_45_315.fa,2602461,351521,0.34879944,0.45292172,0.8649275,7461196,5745940,0.4529217151588774,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_13D_Oscillatoriales_45_19.fa,3602695,401835,0.60967124,0.62699836,0.88846266,5909242,5745940,0.6269983675429955,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_13U_Oscillatoriales_45_97.fa,3457485,391689,0.6231549,0.6017266,0.88671273,5548356,5745940,0.623154858844674,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2015_14S_Oscillatoriales_45_132.fa,3460203,390166,0.6119516,0.6021996,0.8872419,5654374,5745940,0.6119515617467115,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_01_SCD_O_A_Oscillatoriales_45_88.fa,2613208,353338,0.34650505,0.45479208,0.86478764,7541616,5745940,0.4547920792768459,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_02_FOX_O_A_Oscillatoriales_45_86.fa,2613705,351389,0.3481239,0.45487857,0.86555904,7507973,5745940,0.45487857513305047,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_03_ELD_O_A_s25_Oscillatoriales_46_20.fa,2324287,318072,0.3555709,0.40450945,0.86315286,6536775,5745940,0.40450944492981133,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_04_SCI_O_A_s25_Oscillatoriales_45_22.fa,2281913,312752,0.3545846,0.39713484,0.86294305,6435454,5745940,0.39713484651771513,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_05_CCC_O_A_Oscillatoriales_45_72.fa,2567771,347396,0.33327708,0.44688442,0.86470914,7704613,5745940,0.44688440881735625,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_06_SFM_O_A_s25_Oscillatoriales_45_22.fa,2461153,334994,0.35873196,0.42832905,0.86388737,6860702,5745940,0.4283290462483075,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_07_MST_O_A_s25_Oscillatoriales_45_20.fa,2502747,338495,0.3453724,0.4355679,0.8647506,7246517,5745940,0.43556789663658163,1
